Location_ID,Location_of_Breached_Information_Desktop Computer,Location_of_Breached_Information_Laptop,Location_of_Breached_Information_Network Server,Location_of_Breached_Information_Other,Location_of_Breached_Information_Other Portable Electronic Device,Location_of_Breached_Information_Paper
272,0,0,0,0,0,1
273,0,0,0,0,0,1
274,0,0,0,1,0,0
275,0,0,0,1,0,0
276,1,0,0,0,0,0
277,0,0,0,1,0,0
278,0,0,0,1,0,0
279,0,0,1,0,0,0
280,0,0,0,0,0,1
281,0,1,0,0,0,0
282,0,0,0,0,0,1
283,1,0,0,0,0,0
284,1,0,0,0,0,0
285,0,0,1,0,0,0
286,0,0,1,0,0,0
287,0,0,0,1,0,0
288,1,0,0,0,0,0
289,0,1,0,0,0,0
290,0,0,0,0,1,0
291,0,0,0,0,0,1
292,0,0,0,1,0,0
293,0,0,0,1,0,0
294,0,0,0,0,0,1
295,0,0,1,0,0,0
296,0,0,0,0,0,1
297,0,0,0,0,0,1
298,0,1,0,0,0,0
299,0,0,0,1,0,0
300,0,0,0,0,0,1
301,0,1,0,0,0,0
302,0,1,0,0,0,0
303,0,1,0,0,0,0
304,0,1,0,0,0,0
305,0,0,0,1,0,0
306,0,0,0,0,0,1
307,0,0,0,0,0,1
308,0,1,0,0,0,0
309,0,0,0,0,0,1
310,0,0,0,1,0,0
311,0,1,0,0,0,0
312,1,0,0,0,0,0
313,0,0,0,0,1,0
314,0,0,0,0,0,1
315,0,1,0,0,0,0
316,0,1,0,0,0,0
317,0,0,0,0,0,1
318,0,0,0,1,0,0
319,0,0,0,0,0,1
320,0,1,0,0,0,0
321,0,0,0,1,0,0
322,0,0,0,0,0,1
323,0,0,0,1,0,0
324,0,0,0,0,1,0
325,0,1,0,0,0,0
326,0,1,0,0,0,0
327,0,0,0,1,0,0
328,0,1,0,0,0,0
329,0,0,1,0,0,0
330,0,0,0,1,0,0
331,1,0,0,0,0,0
332,0,0,0,0,0,1
333,0,1,0,0,0,0
334,0,1,0,0,0,0
335,0,1,0,0,0,0
336,0,1,0,0,0,0
337,0,0,0,0,0,1
338,0,1,0,0,0,0
339,0,1,0,0,0,0
340,0,0,0,0,0,1
341,0,1,0,0,0,0
342,0,0,0,0,1,0
343,0,0,1,0,0,0
344,0,0,0,0,0,1
345,0,0,0,1,0,0
346,0,0,0,0,0,1
347,0,0,0,1,0,0
348,0,0,0,0,0,1
349,0,0,0,0,0,1
350,0,0,0,0,1,0
351,0,0,0,0,0,1
352,0,0,0,1,0,0
353,0,0,1,0,0,0
354,0,0,0,0,0,1
355,0,0,0,1,0,0
356,0,0,0,0,0,1
357,1,0,0,0,0,0
358,1,0,0,0,0,0
359,0,0,0,1,0,0
360,0,0,0,0,0,1
361,0,0,0,0,0,1
362,0,0,1,0,0,0
363,0,0,0,0,0,1
364,0,0,1,0,0,0
365,0,0,1,0,0,0
366,0,0,0,0,0,1
367,0,0,0,0,0,1
368,0,0,0,0,0,1
369,0,1,0,0,0,0
370,0,0,0,0,1,0
371,0,1,0,0,0,0
372,0,0,0,1,0,0
373,0,0,0,1,0,0
374,0,0,0,1,0,0
375,0,1,0,0,0,0
376,0,1,0,0,0,0
377,0,0,0,1,0,0
378,0,0,0,0,0,1
379,1,0,0,0,0,0
380,0,0,0,1,0,0
381,0,0,0,0,0,1
382,0,0,0,0,1,0
383,0,1,0,0,0,0
384,0,0,0,0,1,0
385,1,0,0,0,0,0
386,0,0,0,0,0,1
387,0,1,0,0,0,0
388,0,1,0,0,0,0
389,1,0,0,0,0,0
390,0,1,0,0,0,0
391,0,0,0,0,0,1
392,0,0,0,0,0,1
393,0,0,0,0,1,0
394,0,1,0,0,0,0
395,1,0,0,0,0,0
396,0,0,0,1,0,0
397,0,0,1,0,0,0
398,0,0,0,1,0,0
399,0,0,1,0,0,0
400,0,0,0,0,0,1
401,0,1,0,0,0,0
402,0,1,0,0,0,0
403,0,0,0,1,0,0
404,0,0,0,1,0,0
405,1,0,0,0,0,0
406,0,0,0,1,0,0
407,0,1,0,0,0,0
408,1,0,0,0,0,0
409,0,1,0,0,0,0
410,0,0,0,0,1,0
411,0,1,0,0,0,0
412,0,0,0,0,1,0
413,0,1,0,0,0,0
414,0,1,0,0,0,0
415,0,0,1,0,0,0
416,0,0,0,0,1,0
417,0,0,0,0,1,0
418,0,1,0,0,0,0
419,1,0,0,0,0,0
420,0,0,0,0,0,1
421,0,1,0,0,0,0
422,0,0,0,0,1,0
423,0,1,0,0,0,0
424,0,1,0,0,0,0
425,0,0,0,1,0,0
426,1,0,0,0,0,0
427,0,0,0,0,0,1
428,0,0,1,0,0,0
429,0,0,0,0,0,1
430,0,0,0,0,0,1
431,0,0,1,0,0,0
432,0,0,0,0,0,1
433,0,0,0,1,0,0
434,0,0,0,0,0,1
435,0,0,0,0,1,0
436,0,0,0,1,0,0
437,1,0,0,0,0,0
438,0,0,0,0,1,0
439,0,1,0,0,0,0
440,1,0,0,0,0,0
441,0,0,0,1,0,0
442,0,0,0,0,0,1
443,1,0,0,0,0,0
444,1,0,0,0,0,0
445,0,1,0,0,0,0
446,1,0,0,0,0,0
447,1,0,0,0,0,0
448,0,0,1,0,0,0
449,0,0,0,0,0,1
450,0,0,0,0,0,1
451,1,0,0,0,0,0
452,1,0,0,0,0,0
453,0,1,0,0,0,0
454,1,0,0,0,0,0
455,0,0,0,0,1,0
456,1,0,0,0,0,0
457,0,0,0,0,0,1
458,1,0,0,0,0,0
459,1,0,0,0,0,0
460,0,0,0,0,0,1
461,0,0,0,0,0,1
462,0,0,0,0,0,1
463,0,1,0,0,0,0
464,0,0,0,1,0,0
465,0,0,0,0,0,1
466,0,0,0,1,0,0
467,0,1,0,0,0,0
468,0,1,0,0,0,0
469,0,1,0,0,0,0
470,0,0,1,0,0,0
471,0,1,0,0,0,0
472,1,0,0,0,0,0
473,0,0,0,0,0,1
474,1,0,0,0,0,0
475,0,0,1,0,0,0
476,0,0,0,0,0,1
477,0,0,0,0,0,1
478,0,0,0,0,0,1
479,0,1,0,0,0,0
480,0,0,1,0,0,0
481,0,1,0,0,0,0
482,0,0,1,0,0,0
483,0,1,0,0,0,0
484,0,1,0,0,0,0
485,0,1,0,0,0,0
486,0,0,0,1,0,0
487,0,0,0,0,0,1
488,0,1,0,0,0,0
489,0,0,0,0,0,1
490,1,0,0,0,0,0
491,0,0,0,0,0,1
492,1,0,0,0,0,0
493,0,1,0,0,0,0
494,1,0,0,0,0,0
495,0,1,0,0,0,0
496,0,1,0,0,0,0
497,0,1,0,0,0,0
498,0,0,0,1,0,0
499,0,0,0,0,0,1
500,0,1,0,0,0,0
501,0,0,0,0,1,0
502,0,1,0,0,0,0
503,0,1,0,0,0,0
504,0,0,0,0,0,1
505,0,1,0,0,0,0
506,0,0,1,0,0,0
507,0,0,0,0,0,1
508,1,0,0,0,0,0
509,0,1,0,0,0,0
510,1,0,0,0,0,0
511,0,0,0,0,0,1
512,0,1,0,0,0,0
513,0,0,0,0,0,1
514,0,0,0,0,1,0
515,0,0,0,1,0,0
516,0,0,0,0,0,1
517,0,1,0,0,0,0
518,0,0,0,0,1,0
519,1,0,0,0,0,0
520,0,0,1,0,0,0
521,0,1,0,0,0,0
522,0,1,0,0,0,0
523,0,0,1,0,0,0
524,0,0,1,0,0,0
525,0,1,0,0,0,0
526,0,0,0,0,0,1
527,0,1,0,0,0,0
528,0,0,0,0,0,1
529,0,0,1,0,0,0
530,0,0,0,0,0,1
531,0,0,0,0,0,1
532,0,1,0,0,0,0
533,0,0,0,0,0,1
534,0,1,0,0,0,0
535,0,0,0,1,0,0
536,1,0,0,0,0,0
537,0,0,0,1,0,0
538,1,0,0,0,0,0
539,0,0,0,0,0,1
540,1,0,0,0,0,0
541,0,0,0,0,1,0
542,0,0,0,1,0,0
543,0,0,0,0,1,0
544,0,0,0,0,1,0
545,0,0,0,0,0,1
546,0,0,0,0,0,1
547,0,0,1,0,0,0
548,1,0,0,0,0,0
549,0,0,1,0,0,0
550,0,1,0,0,0,0
551,0,1,0,0,0,0
552,0,0,1,0,0,0
553,0,0,0,1,0,0
554,1,0,0,0,0,0
555,0,1,0,0,0,0
556,0,1,0,0,0,0
557,0,0,0,1,0,0
558,1,0,0,0,0,0
559,1,0,0,0,0,0
560,0,1,0,0,0,0
561,0,0,0,0,0,1
562,0,0,0,0,0,1
563,0,0,0,0,0,1
564,0,0,0,0,1,0
565,0,1,0,0,0,0
566,0,1,0,0,0,0
567,0,0,0,0,0,1
568,0,0,0,0,0,1
569,0,0,0,0,0,1
570,0,1,0,0,0,0
571,0,0,0,0,0,1
572,0,0,0,0,0,1
573,0,0,0,0,0,1
574,0,0,0,0,0,1
575,0,0,0,1,0,0
576,1,0,0,0,0,0
577,0,0,0,1,0,0
578,1,0,0,0,0,0
579,1,0,0,0,0,0
580,0,0,0,0,1,0
581,1,0,0,0,0,0
582,0,0,0,1,0,0
583,0,1,0,0,0,0
584,0,1,0,0,0,0
585,0,0,0,0,1,0
586,0,0,1,0,0,0
587,0,1,0,0,0,0
588,0,0,0,1,0,0
589,0,0,0,0,0,1
590,0,1,0,0,0,0
591,0,0,0,0,0,1
592,0,0,0,0,0,1
593,1,0,0,0,0,0
594,1,0,0,0,0,0
595,0,0,1,0,0,0
596,0,1,0,0,0,0
597,0,1,0,0,0,0
598,0,0,0,1,0,0
599,0,0,1,0,0,0
600,0,0,0,1,0,0
601,0,0,0,1,0,0
602,0,0,1,0,0,0
603,0,0,1,0,0,0
604,0,0,1,0,0,0
605,0,0,0,0,0,1
606,0,1,0,0,0,0
607,0,1,0,0,0,0
608,0,1,0,0,0,0
609,0,0,1,0,0,0
610,0,1,0,0,0,0
611,0,1,0,0,0,0
612,0,0,0,0,0,1
613,0,1,0,0,0,0
614,0,0,0,0,0,1
615,0,0,0,0,0,1
616,0,0,1,0,0,0
617,0,0,1,0,0,0
618,0,1,0,0,0,0
619,0,0,0,0,0,1
620,0,1,0,0,0,0
621,1,0,0,0,0,0
622,0,0,0,0,1,0
623,1,0,0,0,0,0
624,0,1,0,0,0,0
625,0,0,1,0,0,0
626,0,0,1,0,0,0
627,0,1,0,0,0,0
628,0,1,0,0,0,0
629,0,1,0,0,0,0
630,1,0,0,0,0,0
631,0,0,0,0,0,1
632,0,1,0,0,0,0
633,0,0,1,0,0,0
634,0,1,0,0,0,0
635,0,0,0,0,0,1
636,0,0,0,0,1,0
637,0,1,0,0,0,0
638,0,0,0,0,0,1
639,0,0,0,1,0,0
640,0,0,0,0,0,1
641,0,0,0,0,0,1
642,0,0,0,1,0,0
643,0,0,0,1,0,0
644,0,0,0,0,1,0
645,0,1,0,0,0,0
646,0,1,0,0,0,0
647,0,1,0,0,0,0
648,0,0,0,0,1,0
649,0,0,0,0,1,0
650,0,0,0,0,1,0
651,1,0,0,0,0,0
652,0,1,0,0,0,0
653,1,0,0,0,0,0
654,0,0,1,0,0,0
655,1,0,0,0,0,0
656,0,1,0,0,0,0
657,0,0,0,0,0,1
658,0,0,0,1,0,0
659,1,0,0,0,0,0
660,0,1,0,0,0,0
661,0,0,0,0,1,0
662,0,0,1,0,0,0
663,0,0,0,0,1,0
664,0,0,1,0,0,0
665,0,0,1,0,0,0
666,0,1,0,0,0,0
667,0,1,0,0,0,0
668,0,0,0,0,0,1
669,0,0,0,0,0,1
670,1,0,0,0,0,0
671,0,0,0,0,0,1
672,1,0,0,0,0,0
673,0,1,0,0,0,0
674,0,1,0,0,0,0
675,1,0,0,0,0,0
676,0,0,0,0,0,1
677,0,0,0,1,0,0
678,0,1,0,0,0,0
679,0,0,1,0,0,0
680,0,1,0,0,0,0
681,0,0,1,0,0,0
682,0,0,0,1,0,0
683,0,0,0,0,0,1
684,0,0,0,0,1,0
685,0,0,0,0,1,0
686,0,1,0,0,0,0
687,0,0,1,0,0,0
688,0,0,0,0,1,0
689,0,1,0,0,0,0
690,0,1,0,0,0,0
691,0,0,1,0,0,0
692,0,1,0,0,0,0
693,0,0,0,0,0,1
694,0,0,1,0,0,0
695,0,0,0,0,1,0
696,0,0,0,0,1,0
697,0,0,0,0,0,1
698,0,0,1,0,0,0
699,0,0,0,1,0,0
700,0,1,0,0,0,0
701,0,0,1,0,0,0
702,0,0,1,0,0,0
703,0,0,1,0,0,0
704,1,0,0,0,0,0
705,0,0,1,0,0,0
706,0,1,0,0,0,0
707,1,0,0,0,0,0
708,0,0,0,1,0,0
709,0,0,0,0,0,1
710,0,0,1,0,0,0
711,0,0,0,1,0,0
712,0,0,1,0,0,0
713,0,0,1,0,0,0
714,0,0,0,1,0,0
715,1,0,0,0,0,0
716,0,0,0,1,0,0
717,0,1,0,0,0,0
718,0,0,1,0,0,0
719,1,0,0,0,0,0
720,0,1,0,0,0,0
721,0,0,0,0,0,1
722,0,0,0,0,1,0
723,0,0,0,0,1,0
724,0,0,0,1,0,0
725,0,0,0,0,0,1
726,0,0,1,0,0,0
727,0,0,0,1,0,0
728,0,0,0,1,0,0
729,0,0,0,0,1,0
730,0,0,0,0,0,1
731,0,0,0,0,0,1
732,0,0,0,0,0,1
733,0,0,0,0,0,1
734,0,0,0,1,0,0
735,0,0,0,0,0,1
736,0,0,0,0,1,0
737,0,0,0,0,1,0
738,0,0,0,1,0,0
739,0,0,0,0,0,1
740,0,0,0,1,0,0
741,0,0,0,0,1,0
742,0,1,0,0,0,0
743,0,1,0,0,0,0
744,0,0,0,1,0,0
745,0,0,0,0,0,1
746,0,0,1,0,0,0
747,0,0,1,0,0,0
748,0,0,0,0,0,1
749,0,0,0,0,0,1
750,0,0,0,0,0,1
751,0,0,0,0,0,1
752,0,0,0,0,0,1
753,0,1,0,0,0,0
754,0,0,1,0,0,0
755,0,0,0,0,0,1
756,0,0,0,1,0,0
757,1,0,0,0,0,0
758,0,0,0,0,1,0
759,1,0,0,0,0,0
760,0,0,0,0,0,1
761,0,1,0,0,0,0
762,1,0,0,0,0,0
763,0,0,0,1,0,0
764,0,0,0,1,0,0
765,1,0,0,0,0,0
