Intrusion_ID,Type_ID,Type_of_Breach_Hacking/IT Incident,Type_of_Breach_Improper Disposal,Type_of_Breach_Loss,Type_of_Breach_Other,Type_of_Breach_Theft,Type_of_Breach_Unauthorized Access/Disclosure,Location_ID
120,94,0,0,0,0,1,0,94
121,95,0,1,0,0,0,0,95
122,96,1,0,0,0,0,0,96
123,97,0,1,0,0,0,0,97
124,98,0,0,0,0,1,0,98
125,99,0,0,0,1,0,0,99
126,100,1,0,0,0,0,0,100
127,101,0,0,0,0,1,0,101
128,102,0,0,1,0,0,0,102
129,103,0,0,0,0,1,0,103
130,104,0,0,0,0,1,0,104
131,105,0,0,0,1,0,0,105
132,106,0,0,0,1,0,0,106
133,107,0,0,0,0,1,0,107
134,108,0,0,0,0,1,0,108
137,109,0,0,0,0,1,0,109
138,110,0,1,0,0,0,0,110
139,111,0,0,0,0,1,0,111
140,112,1,0,0,0,0,0,112
141,113,0,0,1,0,0,0,113
142,114,0,0,0,0,1,0,114
143,115,0,0,0,0,1,0,115
145,116,0,0,0,0,1,0,116
146,117,0,0,0,0,1,0,117
147,118,0,0,0,0,1,0,118
150,119,0,1,0,0,0,0,119
152,120,0,0,0,0,1,0,120
154,121,0,0,1,0,0,0,121
155,122,0,0,0,1,0,0,122
156,123,0,0,0,0,1,0,123
158,124,0,0,0,0,1,0,124
159,125,0,0,0,0,1,0,125
160,126,0,0,1,0,0,0,126
162,127,0,0,0,0,1,0,127
164,128,0,0,0,1,0,0,128
165,129,0,0,0,0,1,0,129
166,130,0,1,0,0,0,0,130
168,131,0,0,0,0,1,0,131
169,132,0,1,0,0,0,0,132
172,133,0,0,0,0,1,0,133
173,134,0,1,0,0,0,0,134
174,135,1,0,0,0,0,0,135
175,136,0,0,0,0,1,0,136
176,137,0,1,0,0,0,0,137
177,138,0,0,0,0,1,0,138
179,139,0,0,0,0,1,0,139
180,140,0,0,0,1,0,0,140
181,141,0,0,0,0,1,0,141
183,142,1,0,0,0,0,0,142
185,143,0,0,0,0,1,0,143
186,144,0,0,1,0,0,0,144
188,145,0,0,0,0,0,1,145
189,146,0,0,0,0,1,0,146
191,147,0,0,0,0,1,0,147
192,148,0,0,0,0,1,0,148
193,149,0,0,0,0,1,0,149
194,150,0,0,0,0,0,1,150
195,151,0,0,0,0,1,0,151
196,152,0,0,0,0,1,0,152
197,153,0,0,0,0,1,0,153
198,154,0,0,0,0,1,0,154
199,155,0,0,0,0,0,1,155
201,156,0,0,0,0,1,0,156
202,157,0,0,0,0,1,0,157
203,158,0,1,0,0,0,0,158
204,159,0,0,0,0,0,1,159
205,160,0,0,0,0,1,0,160
207,161,0,0,0,0,0,1,161
209,162,0,0,0,0,1,0,162
210,163,0,0,0,0,1,0,163
211,164,0,1,0,0,0,0,164
213,165,0,0,0,0,0,1,165
214,166,0,0,0,0,1,0,166
215,167,0,0,0,0,1,0,167
218,168,0,0,0,0,1,0,168
221,169,0,0,0,0,1,0,169
223,170,1,0,0,0,0,0,170
224,171,0,0,0,0,1,0,171
225,172,0,0,0,0,1,0,172
228,173,0,0,0,0,1,0,173
229,174,1,0,0,0,0,0,174
232,175,0,0,0,0,1,0,175
234,176,0,0,0,0,1,0,176
236,177,0,0,0,0,1,0,177
237,178,0,0,0,0,1,0,178
238,179,1,0,0,0,0,0,179
240,180,0,0,0,0,1,0,180
241,181,1,0,0,0,0,0,181
243,182,0,0,0,0,0,1,182
245,183,0,0,0,0,0,1,183
249,184,0,0,0,0,1,0,184
250,185,0,0,0,0,0,1,185
252,186,0,0,0,0,0,1,186
253,187,0,0,0,0,1,0,187
255,188,0,0,0,0,0,1,188
257,189,0,0,0,0,1,0,189
259,190,0,0,0,0,0,1,190
260,191,0,0,0,0,1,0,191
261,192,0,0,0,0,1,0,192
262,193,0,0,0,0,1,0,193
265,194,0,0,1,0,0,0,194
266,195,0,0,0,0,1,0,195
267,196,0,0,0,0,0,1,196
269,197,0,1,0,0,0,0,197
271,198,0,0,0,0,1,0,198
272,199,0,0,1,0,0,0,199
273,200,0,0,0,0,0,1,200
274,201,1,0,0,0,0,0,201
275,202,1,0,0,0,0,0,202
281,203,0,1,0,0,0,0,203
282,204,0,0,0,0,1,0,204
283,205,0,0,0,0,1,0,205
284,206,0,0,0,0,1,0,206
285,207,0,0,0,0,1,0,207
286,208,0,0,0,0,0,1,208
287,209,0,0,0,0,1,0,209
288,210,0,0,0,0,1,0,210
289,211,0,0,0,0,1,0,211
292,212,0,0,0,0,1,0,212
293,213,0,1,0,0,0,0,213
294,214,0,0,0,0,1,0,214
295,215,0,0,0,0,1,0,215
296,216,0,0,0,0,0,1,216
297,217,0,0,0,0,1,0,217
299,218,0,0,0,0,1,0,218
306,219,0,0,1,0,0,0,219
307,220,0,0,0,0,1,0,220
308,221,0,0,0,0,0,1,221
309,222,0,0,0,0,1,0,222
311,223,0,0,0,0,0,1,223
312,224,0,0,0,0,1,0,224
313,225,0,0,0,0,1,0,225
315,226,0,0,0,0,0,1,226
316,227,0,0,0,0,1,0,227
318,228,0,0,0,0,0,1,228
319,229,0,0,1,0,0,0,229
322,230,0,0,0,0,1,0,230
323,231,0,0,0,0,0,1,231
324,232,1,0,0,0,0,0,232
325,233,0,0,0,0,1,0,233
326,234,0,0,0,0,1,0,234
327,235,1,0,0,0,0,0,235
328,236,0,0,0,0,0,1,236
329,237,0,1,0,0,0,0,237
330,238,0,0,0,0,0,1,238
331,239,0,0,0,0,0,1,239
332,240,0,0,0,0,1,0,240
333,241,0,0,0,0,1,0,241
334,242,0,0,0,0,1,0,242
335,243,0,0,0,0,1,0,243
336,244,0,0,0,0,0,1,244
337,245,0,0,0,0,1,0,245
338,246,1,0,0,0,0,0,246
343,247,0,0,0,0,0,1,247
345,248,1,0,0,0,0,0,248
349,249,0,0,0,0,1,0,249
350,250,0,0,0,0,1,0,250
351,251,0,0,0,0,0,1,251
356,252,0,0,0,0,0,1,252
357,253,0,0,0,0,1,0,253
358,254,1,0,0,0,0,0,254
360,255,0,0,0,0,1,0,255
361,256,1,0,0,0,0,0,256
362,257,0,0,0,0,1,0,257
363,258,0,0,0,0,1,0,258
364,259,0,0,0,0,1,0,259
365,260,0,0,0,0,1,0,260
369,261,0,0,1,0,0,0,261
370,262,0,0,0,0,1,0,262
372,263,0,0,0,0,1,0,263
374,264,0,0,0,0,1,0,264
375,265,0,0,0,0,1,0,265
379,266,0,0,0,0,1,0,266
380,267,0,0,0,0,1,0,267
382,268,0,0,1,0,0,0,268
385,269,0,0,0,0,1,0,269
386,270,0,0,0,0,1,0,270
387,271,0,0,0,0,1,0,271
388,272,0,0,0,0,1,0,272
389,273,0,0,0,0,1,0,273
391,274,0,0,0,0,1,0,274
392,275,0,0,0,0,1,0,275
393,276,0,0,0,0,1,0,276
394,277,0,0,1,0,0,0,277
395,278,0,0,1,0,0,0,278
397,279,0,0,0,0,0,1,279
398,280,0,0,0,0,1,0,280
400,281,0,0,0,0,1,0,281
401,282,0,0,0,0,1,0,282
403,283,0,0,0,0,1,0,283
404,284,0,0,0,0,1,0,284
405,285,0,0,0,0,1,0,285
407,286,0,1,0,0,0,0,286
409,287,0,0,1,0,0,0,287
413,288,0,0,0,0,1,0,288
414,289,0,0,0,0,1,0,289
416,290,0,0,1,0,0,0,290
417,291,0,0,0,0,0,1,291
418,292,0,0,1,0,0,0,292
419,293,0,0,0,0,1,0,293
420,294,0,0,0,1,0,0,294
421,295,0,0,0,0,0,1,295
422,296,0,1,0,0,0,0,296
423,297,0,0,0,0,1,0,297
424,298,0,0,0,0,1,0,298
425,299,0,0,0,0,1,0,299
426,300,0,0,0,1,0,0,300
428,301,0,0,0,0,1,0,301
429,302,0,0,0,0,1,0,302
430,303,0,0,0,0,1,0,303
433,304,0,0,0,0,1,0,304
434,305,0,0,0,0,0,1,305
435,306,0,0,0,1,0,0,306
436,307,0,0,0,0,1,0,307
437,308,0,0,0,0,1,0,308
438,309,0,0,0,1,0,0,309
439,310,0,0,1,0,0,0,310
441,311,0,0,0,0,1,0,311
443,312,0,0,0,0,1,0,312
445,313,0,0,0,0,1,0,313
446,314,0,0,0,1,0,0,314
447,315,0,0,0,0,1,0,315
448,316,0,0,0,0,1,0,316
449,317,0,0,0,1,0,0,317
450,318,0,0,0,1,0,0,318
451,319,0,0,0,0,1,0,319
452,320,0,0,0,0,1,0,320
453,321,1,0,0,0,0,0,321
454,322,0,0,0,0,0,1,322
455,323,0,0,0,1,0,0,323
456,324,0,0,1,0,0,0,324
458,325,0,0,0,0,1,0,325
459,326,0,0,0,0,1,0,326
460,327,0,0,0,0,0,1,327
461,328,0,0,0,0,1,0,328
462,329,0,0,0,0,1,0,329
463,330,0,0,0,0,1,0,330
464,331,0,0,0,0,0,1,331
465,332,0,0,0,1,0,0,332
466,333,0,0,0,0,1,0,333
467,334,0,0,0,0,1,0,334
469,335,0,0,0,0,1,0,335
470,336,0,0,0,0,1,0,336
471,337,0,0,0,0,1,0,337
472,338,0,0,0,0,1,0,338
473,339,0,0,0,0,1,0,339
474,340,0,0,0,0,1,0,340
476,341,0,0,0,0,1,0,341
477,342,0,0,0,0,1,0,342
478,343,0,0,0,1,0,0,343
479,344,0,0,0,1,0,0,344
480,345,0,0,0,0,0,1,345
481,346,0,0,0,0,1,0,346
482,347,0,0,0,0,0,1,347
484,348,0,0,0,0,1,0,348
486,349,0,0,1,0,0,0,349
487,350,0,0,1,0,0,0,350
489,351,0,0,0,0,0,1,351
490,352,0,0,0,0,1,0,352
491,353,1,0,0,0,0,0,353
492,354,0,1,0,0,0,0,354
494,355,0,0,0,1,0,0,355
496,356,0,1,0,0,0,0,356
498,357,0,0,0,0,1,0,357
499,358,0,0,0,0,1,0,358
500,359,0,0,0,0,0,1,359
501,360,0,0,0,0,1,0,360
503,361,0,0,0,0,1,0,361
504,362,0,0,0,0,1,0,362
506,363,0,0,0,0,1,0,363
507,364,1,0,0,0,0,0,364
508,365,0,0,0,0,1,0,365
509,366,0,1,0,0,0,0,366
511,367,0,0,0,0,1,0,367
512,368,0,1,0,0,0,0,368
514,369,0,0,0,0,1,0,369
515,370,0,0,1,0,0,0,370
516,371,0,0,0,0,1,0,371
518,372,0,0,0,0,0,1,372
519,373,0,0,0,0,1,0,373
520,374,0,0,0,0,0,1,374
522,375,0,0,0,0,1,0,375
523,376,0,0,0,0,1,0,376
524,377,0,0,0,0,0,1,377
525,378,0,0,0,0,1,0,378
527,379,0,0,0,0,1,0,379
529,380,0,0,0,0,1,0,380
531,381,0,0,1,0,0,0,381
532,382,0,0,1,0,0,0,382
533,383,0,0,0,0,1,0,383
534,384,0,0,0,0,1,0,384
535,385,0,0,0,0,1,0,385
537,386,0,0,0,0,1,0,386
538,387,0,0,0,0,1,0,387
539,388,0,0,0,0,1,0,388
541,389,0,0,0,0,0,1,389
542,390,0,0,0,0,1,0,390
544,391,0,0,0,0,1,0,391
547,392,0,0,0,0,1,0,392
549,393,0,0,1,0,0,0,393
550,394,0,0,0,0,1,0,394
551,395,0,0,0,0,1,0,395
552,396,1,0,0,0,0,0,396
553,397,0,0,0,1,0,0,397
554,398,0,0,0,0,1,0,398
555,399,0,0,0,0,1,0,399
557,400,0,0,0,0,1,0,400
558,401,0,0,0,0,1,0,401
559,402,0,0,0,0,1,0,402
560,403,1,0,0,0,0,0,403
561,404,0,0,0,0,1,0,404
562,405,0,0,0,0,1,0,405
563,406,1,0,0,0,0,0,406
565,407,0,0,0,0,1,0,407
566,408,0,0,0,0,1,0,408
568,409,0,0,0,0,1,0,409
569,410,0,0,1,0,0,0,410
571,411,0,0,0,0,1,0,411
572,412,0,0,0,0,1,0,412
573,413,0,0,0,0,1,0,413
575,414,0,0,0,0,1,0,414
577,415,1,0,0,0,0,0,415
578,416,0,0,0,0,1,0,416
579,417,0,0,1,0,0,0,417
581,418,0,0,0,0,1,0,418
582,419,0,0,0,0,1,0,419
584,420,0,1,0,0,0,0,420
585,421,0,0,0,0,1,0,421
586,422,0,0,1,0,0,0,422
588,423,0,0,0,0,1,0,423
589,424,0,0,0,0,1,0,424
590,425,0,0,0,0,1,0,425
591,426,0,0,0,0,1,0,426
592,427,0,0,0,0,1,0,427
593,428,1,0,0,0,0,0,428
595,429,0,0,0,0,1,0,429
596,430,0,1,0,0,0,0,430
597,431,0,0,0,0,1,0,431
598,432,0,0,0,0,1,0,432
601,433,0,0,1,0,0,0,433
602,434,0,0,1,0,0,0,434
603,435,0,0,1,0,0,0,435
604,436,0,0,0,1,0,0,436
605,437,1,0,0,0,0,0,437
606,438,0,0,0,0,1,0,438
607,439,0,0,0,0,1,0,439
608,440,0,0,0,0,1,0,440
609,441,0,0,0,1,0,0,441
610,442,0,0,0,0,1,0,442
611,443,0,0,0,0,1,0,443
612,444,0,0,0,0,1,0,444
613,445,0,0,0,0,1,0,445
614,446,0,0,0,0,1,0,446
615,447,0,0,0,0,1,0,447
616,448,0,0,0,0,0,1,448
617,449,0,1,0,0,0,0,449
618,450,0,0,0,0,0,1,450
619,451,0,0,0,0,1,0,451
620,452,0,0,0,0,1,0,452
622,453,0,0,0,0,1,0,453
623,454,0,0,0,0,1,0,454
624,455,0,0,1,0,0,0,455
625,456,0,0,0,0,1,0,456
627,457,0,0,0,0,1,0,457
629,458,0,0,0,0,1,0,458
630,459,0,0,0,0,1,0,459
631,460,0,0,0,1,0,0,460
632,461,0,0,0,1,0,0,461
633,462,0,0,0,1,0,0,462
634,463,0,0,0,0,1,0,463
636,464,0,0,0,0,0,1,464
637,465,0,0,0,0,1,0,465
638,466,0,0,0,0,0,1,466
639,467,0,0,0,1,0,0,467
640,468,0,0,0,0,1,0,468
642,469,1,0,0,0,0,0,469
643,470,1,0,0,0,0,0,470
644,471,0,0,0,0,1,0,471
645,472,1,0,0,0,0,0,472
646,473,0,0,0,0,1,0,473
647,474,0,0,0,0,1,0,474
648,475,1,0,0,0,0,0,475
649,476,0,1,0,0,0,0,476
650,477,0,0,0,0,0,1,477
651,478,0,0,0,0,0,1,478
652,479,0,0,0,0,1,0,479
653,480,1,0,0,0,0,0,480
654,481,0,0,0,0,1,0,481
655,482,1,0,0,0,0,0,482
656,483,0,0,0,0,1,0,483
657,484,0,0,0,0,1,0,484
658,485,0,0,0,0,1,0,485
659,486,0,0,1,0,0,0,486
661,487,0,0,0,0,1,0,487
662,488,0,0,0,0,1,0,488
663,489,0,0,0,0,1,0,489
664,490,0,0,0,0,1,0,490
665,491,0,1,0,0,0,0,491
666,492,0,0,0,0,1,0,492
667,493,0,0,0,0,1,0,493
668,494,0,0,0,0,1,0,494
669,495,0,0,0,0,1,0,495
670,496,0,0,1,0,0,0,496
671,497,0,0,0,0,1,0,497
673,498,0,0,0,0,0,1,498
674,499,0,0,0,1,0,0,499
675,500,0,0,0,0,1,0,500
676,501,0,0,0,0,1,0,501
677,502,0,0,0,0,1,0,502
678,503,0,0,0,0,1,0,503
679,504,0,0,0,0,0,1,504
680,505,0,0,0,0,1,0,505
681,506,0,0,0,0,0,1,506
682,507,0,0,0,0,0,1,507
683,508,0,0,0,0,1,0,508
684,509,0,0,0,0,1,0,509
685,510,0,0,0,0,1,0,510
686,511,0,0,0,0,1,0,511
687,512,0,0,0,0,1,0,512
688,513,0,0,0,0,1,0,513
689,514,0,0,0,0,1,0,514
690,515,0,0,0,0,0,1,515
692,516,0,0,0,0,1,0,516
694,517,0,0,0,0,1,0,517
695,518,0,0,1,0,0,0,518
696,519,0,0,0,0,1,0,519
697,520,0,0,0,0,0,1,520
698,521,0,0,0,0,1,0,521
699,522,0,0,0,0,1,0,522
700,523,1,0,0,0,0,0,523
706,524,1,0,0,0,0,0,524
707,525,0,0,1,0,0,0,525
709,526,0,0,0,0,0,1,526
711,527,0,0,0,0,1,0,527
712,528,0,0,0,0,0,1,528
716,529,0,0,0,0,1,0,529
718,530,0,0,0,0,1,0,530
719,531,0,0,0,0,0,1,531
720,532,0,0,1,0,0,0,532
721,533,0,0,0,0,1,0,533
722,534,0,0,0,0,1,0,534
723,535,0,0,0,0,0,1,535
724,536,0,0,0,0,1,0,536
726,537,0,0,0,0,0,1,537
727,538,0,0,0,0,1,0,538
728,539,0,0,1,0,0,0,539
730,540,0,0,0,0,1,0,540
731,541,0,0,0,0,1,0,541
732,542,0,0,0,0,1,0,542
733,543,0,0,1,0,0,0,543
734,544,0,0,1,0,0,0,544
735,545,0,1,0,0,0,0,545
736,546,0,1,0,0,0,0,546
738,547,1,0,0,0,0,0,547
739,548,0,0,0,1,0,0,548
740,549,1,0,0,0,0,0,549
741,550,0,0,0,0,1,0,550
743,551,0,0,1,0,0,0,551
744,552,1,0,0,0,0,0,552
745,553,0,1,0,0,0,0,553
746,554,1,0,0,0,0,0,554
748,555,0,0,0,0,1,0,555
749,556,0,0,0,0,1,0,556
750,557,0,0,0,1,0,0,557
753,558,1,0,0,0,0,0,558
754,559,0,0,0,0,0,1,559
755,560,0,0,0,0,1,0,560
756,561,0,1,0,0,0,0,561
757,562,0,0,0,0,0,1,562
760,563,0,0,0,0,0,1,563
762,564,0,0,1,0,0,0,564
763,565,0,0,0,0,1,0,565
764,566,0,0,0,0,1,0,566
765,567,0,0,0,1,0,0,567
766,568,0,0,0,0,1,0,568
767,569,0,0,0,1,0,0,569
768,570,0,0,0,0,1,0,570
769,571,0,0,0,1,0,0,571
772,572,0,0,0,1,0,0,572
773,573,0,0,1,0,0,0,573
774,574,0,0,1,0,0,0,574
775,575,0,1,0,0,0,0,575
777,576,0,0,0,0,1,0,576
778,577,0,0,0,0,0,1,577
779,578,0,0,0,0,0,1,578
781,579,0,0,0,0,0,1,579
782,580,0,0,1,0,0,0,580
783,581,0,0,0,0,0,1,581
784,582,0,0,0,0,0,1,582
786,583,0,0,0,0,1,0,583
787,584,0,0,0,0,1,0,584
788,585,0,0,0,0,0,1,585
789,586,0,0,0,0,0,1,586
790,587,0,0,0,0,1,0,587
792,588,0,0,0,1,0,0,588
793,589,0,0,0,0,0,1,589
794,590,0,0,0,0,1,0,590
795,591,0,0,0,1,0,0,591
798,592,0,0,0,1,0,0,592
799,593,0,0,0,0,1,0,593
800,594,1,0,0,0,0,0,594
802,595,0,0,0,1,0,0,595
805,596,0,0,0,0,1,0,596
808,597,0,0,0,0,1,0,597
809,598,1,0,0,0,0,0,598
810,599,0,0,0,0,1,0,599
811,600,0,0,1,0,0,0,600
812,601,0,1,0,0,0,0,601
813,602,1,0,0,0,0,0,602
814,603,1,0,0,0,0,0,603
815,604,0,0,0,0,1,0,604
818,605,0,0,0,0,0,1,605
821,606,0,0,0,0,1,0,606
822,607,0,0,0,0,1,0,607
823,608,0,0,0,0,1,0,608
824,609,0,0,0,0,1,0,609
825,610,0,0,0,0,1,0,610
826,611,0,0,0,0,1,0,611
831,612,0,0,0,1,0,0,612
832,613,0,0,0,0,1,0,613
834,614,0,1,0,0,0,0,614
835,615,0,0,0,0,0,1,615
837,616,1,0,0,0,0,0,616
838,617,1,0,0,0,0,0,617
839,618,0,0,0,0,1,0,618
840,619,0,1,0,0,0,0,619
842,620,0,0,0,0,1,0,620
844,621,0,0,0,0,0,1,621
846,622,0,0,1,0,0,0,622
847,623,0,0,0,0,1,0,623
848,624,0,0,0,0,1,0,624
849,625,0,0,0,0,0,1,625
850,626,0,0,0,0,0,1,626
852,627,0,0,0,0,1,0,627
853,628,0,0,0,0,1,0,628
854,629,0,0,0,0,1,0,629
855,630,0,0,0,0,1,0,630
856,631,0,1,0,0,0,0,631
857,632,0,0,0,0,0,1,632
858,633,0,0,0,0,0,1,633
859,634,0,0,0,0,1,0,634
860,635,0,0,0,1,0,0,635
861,636,0,0,1,0,0,0,636
863,637,0,0,0,0,1,0,637
865,638,0,0,0,0,0,1,638
866,639,0,0,0,0,0,1,639
867,640,0,0,0,0,0,1,640
868,641,0,0,0,0,0,1,641
869,642,0,0,0,1,0,0,642
872,643,0,0,0,0,1,0,643
873,644,0,0,1,0,0,0,644
874,645,0,0,0,0,1,0,645
875,646,0,0,0,0,1,0,646
876,647,0,0,0,0,1,0,647
877,648,0,0,0,0,1,0,648
878,649,0,0,1,0,0,0,649
879,650,0,0,1,0,0,0,650
880,651,0,0,0,0,1,0,651
881,652,0,0,0,0,1,0,652
883,653,1,0,0,0,0,0,653
884,654,0,0,0,0,0,1,654
887,655,0,0,0,1,0,0,655
888,656,0,0,0,0,1,0,656
889,657,0,0,0,1,0,0,657
890,658,0,0,0,0,0,1,658
891,659,0,0,0,0,0,1,659
892,660,0,0,1,0,0,0,660
893,661,0,0,0,0,1,0,661
894,662,1,0,0,0,0,0,662
896,663,0,0,1,0,0,0,663
897,664,0,0,0,0,0,1,664
898,665,0,0,0,0,0,1,665
900,666,0,0,0,0,1,0,666
901,667,0,0,0,0,1,0,667
902,668,0,0,1,0,0,0,668
903,669,0,0,0,1,0,0,669
904,670,0,0,0,0,1,0,670
906,671,0,0,0,1,0,0,671
907,672,0,0,0,0,0,1,672
908,673,0,0,0,0,1,0,673
910,674,0,0,0,0,1,0,674
911,675,0,0,1,0,0,0,675
913,676,0,0,0,1,0,0,676
914,677,0,0,0,0,0,1,677
915,678,0,0,0,0,1,0,678
916,679,1,0,0,0,0,0,679
920,680,0,0,0,0,1,0,680
921,681,0,0,0,0,1,0,681
923,682,0,0,0,1,0,0,682
924,683,0,0,0,0,0,1,683
925,684,0,0,1,0,0,0,684
926,685,0,0,1,0,0,0,685
927,686,0,0,0,1,0,0,686
928,687,1,0,0,0,0,0,687
929,688,0,0,0,0,1,0,688
930,689,0,0,0,0,1,0,689
931,690,0,0,0,0,1,0,690
932,691,0,0,0,0,1,0,691
933,692,0,0,0,0,1,0,692
934,693,0,0,0,0,1,0,693
935,694,0,0,0,0,1,0,694
936,695,0,0,0,0,0,1,695
938,696,0,0,1,0,0,0,696
942,697,0,0,1,0,0,0,697
943,698,0,0,0,0,0,1,698
944,699,0,0,0,1,0,0,699
946,700,0,0,0,0,1,0,700
947,701,0,0,0,0,0,1,701
948,702,0,0,0,0,0,1,702
949,703,0,0,0,0,0,1,703
950,704,0,0,0,0,1,0,704
951,705,0,0,0,0,0,1,705
952,706,0,0,0,0,1,0,706
956,707,0,0,0,0,1,0,707
957,708,0,0,0,1,0,0,708
958,709,0,1,0,0,0,0,709
959,710,1,0,0,0,0,0,710
960,711,0,0,0,1,0,0,711
961,712,1,0,0,0,0,0,712
962,713,1,0,0,0,0,0,713
966,714,0,0,0,1,0,0,714
967,715,0,0,0,0,1,0,715
969,716,0,0,0,0,1,0,716
971,717,0,0,0,0,1,0,717
973,718,0,0,0,0,0,1,718
979,719,0,0,0,0,1,0,719
980,720,0,0,0,0,1,0,720
981,721,0,0,0,0,1,0,721
982,722,0,0,1,0,0,0,722
987,723,0,0,0,0,1,0,723
989,724,0,0,0,0,0,1,724
990,725,0,0,0,0,0,1,725
993,726,1,0,0,0,0,0,726
994,727,0,0,0,0,1,0,727
995,728,0,0,0,0,1,0,728
996,729,0,0,0,0,1,0,729
998,730,0,0,0,1,0,0,730
999,731,0,0,1,0,0,0,731
1000,732,0,0,1,0,0,0,732
1001,733,0,0,0,0,1,0,733
1002,734,0,0,0,0,0,1,734
1003,735,0,0,0,0,0,1,735
1004,736,0,0,1,0,0,0,736
1005,737,0,0,0,0,1,0,737
1006,738,0,0,0,0,1,0,738
1009,739,0,0,1,0,0,0,739
1010,740,0,0,0,1,0,0,740
1011,741,0,0,0,0,1,0,741
1012,742,0,0,0,0,1,0,742
1013,743,0,0,0,0,1,0,743
1016,744,0,0,0,0,1,0,744
1017,745,0,0,0,0,0,1,745
1019,746,1,0,0,0,0,0,746
1024,747,1,0,0,0,0,0,747
1025,748,0,0,0,0,0,1,748
1026,749,0,0,0,0,1,0,749
1027,750,0,0,1,0,0,0,750
1028,751,0,0,0,1,0,0,751
1032,752,0,0,0,1,0,0,752
1033,753,0,0,0,0,1,0,753
1034,754,0,0,0,1,0,0,754
1035,755,0,0,0,0,0,1,755
1036,756,0,0,0,0,0,1,756
1038,757,0,0,0,0,1,0,757
1039,758,0,0,0,0,1,0,758
1040,759,0,0,0,0,0,1,759
1042,760,0,0,0,0,0,1,760
1043,761,0,0,0,0,1,0,761
