Intrusion_ID,Location_ID,Location_of_Breached_Information_Desktop Computer,Location_of_Breached_Information_Laptop,Location_of_Breached_Information_Network Server,Location_of_Breached_Information_Other,Location_of_Breached_Information_Other Portable Electronic Device,Location_of_Breached_Information_Paper,Type_ID
1025,748,0,0,0,0,0,1,748
1026,749,0,0,0,0,0,1,749
1027,750,0,0,0,0,0,1,750
1028,751,0,0,0,0,0,1,751
1032,752,0,0,0,0,0,1,752
1033,753,0,1,0,0,0,0,753
1034,754,0,0,1,0,0,0,754
1035,755,0,0,0,0,0,1,755
1036,756,0,0,0,1,0,0,756
1038,757,1,0,0,0,0,0,757
1039,758,0,0,0,0,1,0,758
1040,759,1,0,0,0,0,0,759
1042,760,0,0,0,0,0,1,760
1043,761,0,1,0,0,0,0,761
1046,762,1,0,0,0,0,0,762
1050,763,0,0,0,1,0,0,763
1051,764,0,0,0,1,0,0,764
1054,765,1,0,0,0,0,0,765
